id,type,mapped,owner,parent,outcome,reqSnippet
"RBAC-CAP-101","Capability","true","RBAC Product","RBAC-ENT-005","Consistent, scalable application onboarding","The system SHALL provide a standardized discovery model to capture application RBAC readiness inputs"
"RBAC-CAP-102","Capability","true","RBAC Product","RBAC-ENT-005","Readiness gating enforced","The system SHALL require completion of minimum discovery criteria before entitlement mapping"
"RBAC-CAP-103","Capability","true","RBAC Product","RBAC-ENT-001","Clear accountability","The system SHALL require identification of business and technical owners"
"RBAC-CAP-104","Capability","true","RBAC Product","RBAC-ENT-001","Role clarity","The system SHALL require documented role constructs or confirmation none exist"
"RBAC-CAP-105","Capability","true","RBAC Product","RBAC-ENT-002","Visibility into access risk","The system SHALL require a current permission inventory"
"RBAC-CAP-106","Capability","true","RBAC Product","RBAC-ENT-002","Early risk identification","The system SHALL identify privileged access paths during discovery"
"RBAC-CAP-107","Capability","true","RBAC Product","RBAC-ENT-002","SoD risks identified","The system SHALL capture segregation-of-duties considerations"
"RBAC-CAP-108","Capability","true","RBAC Product","RBAC-ENT-005","Operational transparency","The system SHALL track discovery lifecycle status"
"RBAC-CAP-109","Capability","true","RBAC Product","RBAC-ENT-004","Audit-ready onboarding evidence","The system SHALL retain discovery artifacts as audit evidence"
"RBAC-CAP-110","Capability","true","RBAC Product","RBAC-ENT-001","Consistent governance across identity types","The system SHALL support RBAC governance for non-human identities"
"RBAC-CAP-201","Capability","true","RBAC Product","RBAC-ENT-001","Standardized role model","The system SHALL support explicit definition of business roles"
"RBAC-CAP-202","Capability","true","RBAC Product","RBAC-ENT-002","Reduced inappropriate access","The system SHALL enforce role eligibility criteria"
"RBAC-CAP-203","Capability","true","RBAC Product","RBAC-ENT-001","Role accountability","The system SHALL require documented role purpose and owner"
"RBAC-CAP-204","Capability","true","RBAC Product","RBAC-ENT-003","Controlled role evolution","The system SHALL support role lifecycle states"
"RBAC-CAP-205","Capability","true","RBAC Product","RBAC-ENT-002","Enforced least privilege","The system SHALL ensure users inherit access only through roles"
"RBAC-CAP-206","Capability","true","RBAC Product","RBAC-ENT-003","Deterministic deprovisioning","The system SHALL automatically revoke access when role removed"
"RBAC-CAP-207","Capability","true","RBAC Product","RBAC-ENT-005","Scalable role design","The system SHALL support role composition"
"RBAC-CAP-208","Capability","true","RBAC Product","RBAC-ENT-003","Ongoing role hygiene","The system SHALL support periodic role review"
"RBAC-CAP-209","Capability","true","RBAC Product","RBAC-ENT-004","Auditable role changes","The system SHALL require approval and justification for material role changes"
"RBAC-CAP-301","Capability","true","RBAC Product","RBAC-ENT-001","Consistent access model","The system SHALL enforce role-to-permission mapping"
"RBAC-CAP-302","Capability","true","RBAC Product","RBAC-ENT-002","Least privilege defensibility","The system SHALL require justification for permissions in roles"
"RBAC-CAP-303","Capability","true","RBAC Product","RBAC-ENT-002","Privileged access visibility","The system SHALL flag privileged entitlements during mapping"
"RBAC-CAP-304","Capability","true","RBAC Product","RBAC-ENT-003","Controlled permission lifecycle","The system SHALL require role owner approval for permission changes"
"RBAC-CAP-305","Capability","true","RBAC Product","RBAC-ENT-002","Risk-based governance","The system SHALL apply privileged designation using governance criteria"
"RBAC-CAP-401","Capability","true","RBAC Product","RBAC-ENT-001","Consistent request experience","The system SHALL support role-based access requests"
"RBAC-CAP-402","Capability","true","RBAC Product","RBAC-ENT-003","Policy-driven approvals","The system SHALL route approvals based on governance rules"
"RBAC-CAP-403","Capability","true","RBAC Product","RBAC-ENT-004","Attributable approval trail","The system SHALL record approval decisions as evidence"
"RBAC-CAP-404","Capability","true","RBAC Product","RBAC-ENT-003","Enforced authorization","The system SHALL prevent fulfillment without approvals"
"RBAC-CAP-405","Capability","true","RBAC Product","RBAC-ENT-002","Reduced standing privilege","The system SHALL support time-bound / JIT role activation"
"RBAC-CAP-406","Capability","true","RBAC Product","RBAC-ENT-003","Automatic cleanup","Automatically revoke JIT access"
"RBAC-CAP-407","Capability","true","RBAC Product","RBAC-ENT-004","Full lifecycle evidence","The system SHALL record JIT events as audit evidence"
"RBAC-CAP-501","Capability","true","RBAC Product","RBAC-ENT-003","Ongoing access validation","The system SHALL support periodic access certifications"
"RBAC-CAP-502","Capability","true","RBAC Product","RBAC-ENT-003","Correct reviewer assignment","The system SHALL assign certifiers by governance rules"
"RBAC-CAP-503","Capability","true","RBAC Product","RBAC-ENT-004","Attributable review evidence","The system SHALL record certification decisions"
"RBAC-CAP-504","Capability","true","RBAC Product","RBAC-ENT-003","Closed-loop enforcement","The system SHALL trigger actions from certification outcomes"
"RBAC-CAP-505","Capability","true","RBAC Product","RBAC-ENT-002","Risk-based reviews","The system SHALL set certification cadence by risk tier"
"RBAC-CAP-601","Capability","true","RBAC Product","RBAC-ENT-003","Governed deviations","The system SHALL support documented access exceptions"
"RBAC-CAP-602","Capability","true","RBAC Product","RBAC-ENT-002","Time-bound risk","The system SHALL enforce expiration or revalidation of exceptions"
"RBAC-CAP-603","Capability","true","RBAC Product","RBAC-ENT-003","Controlled emergency access","The system SHALL support emergency (break glass) access with review"
"RBAC-CAP-604","Capability","true","RBAC Product","RBAC-ENT-004","Defensible non-standard access","The system SHALL retain exception and emergency evidence"
"RBAC-CAP-605","Capability","true","RBAC Product","RBAC-ENT-001","Role model improvement","The system SHALL trigger role review from repeated exceptions"
"RBAC-CAP-701","Capability","true","RBAC Product","RBAC-ENT-004","Transparency","The system SHALL report who has access and why"
"RBAC-CAP-702","Capability","true","RBAC Product","RBAC-ENT-004","Longitudinal evidence","The system SHALL retain historical access records"
"RBAC-CAP-703","Capability","true","RBAC Product","RBAC-ENT-004","Zero manual reconstruction","The system SHALL support on-demand audit evidence"
"RBAC-CAP-704","Capability","true","RBAC Product","RBAC-ENT-004","Compliance defensibility","The system SHALL ensure evidence is complete and attributable"
"RBAC-CAP-801","Capability","true","RBAC Product","RBAC-ENT-006","Clear execution boundary","RBAC depends on IGA for execution"
"RBAC-CAP-802","Capability","true","RBAC Product","RBAC-ENT-006","Authoritative source","IGA is system of record for roles and assignments"
"RBAC-CAP-803","Capability","true","RBAC Product","RBAC-ENT-003","Lifecycle automation","IGA executes provisioning, certification, JIT"
"RBAC-CAP-804","Capability","true","RBAC Product","RBAC-ENT-004","Centralized evidence","IGA retains audit evidence for all access events"
"RBAC-IGA-001","IGA Functional","true","IGA Platform","RBAC-CAP-803","RBAC roles executable across all environments","The system SHALL support hybrid identity environments spanning on-premises and SaaS"
"RBAC-IGA-002","IGA Functional","true","IGA Platform","RBAC-CAP-803","Phased RBAC adoption without disruption","The system SHALL support coexistence of on-premises and SaaS components with equivalent capability"
"RBAC-IGA-003","IGA Functional","true","IGA Platform","RBAC-CAP-803","RBAC transition without access loss","The system SHALL support phased migration and parallel operation with legacy IAM systems"
"RBAC-IGA-004","IGA Functional","true","IGA Platform","RBAC-CAP-803","Complete access governance coverage","The system SHALL support governance of connected and non-connected applications"
"RBAC-IGA-005","IGA Functional","true","IGA Platform","RBAC-CAP-804","All access subject to review","The system SHALL include non-connected applications in access reviews and certifications"
"RBAC-IGA-006","IGA Functional","true","IGA Platform","RBAC-CAP-803","Standardized provisioning execution","The system SHALL support standard enterprise integration patterns (APIs, directories, DBs, files, SCIM)"
