requirementId,requirementText,proposalFrameworkId,proposalFrameworkName,proposalControlId,proposalControlTitle,reason,score
"RBAC-IGA-002","The system SHALL support coexistence of on-premises and SaaS components with equivalent capability","DIR-SERVICES","Directory Services","DIR-3.1","Out-of-band change detection","directory-keywords",3
"RBAC-IGA-021","The system SHALL support coexistence of on-prem and SaaS components","DIR-SERVICES","Directory Services","DIR-INT-1","IGA / Directory integration","keyword-match",2
"RBAC-IGA-021","The system SHALL support coexistence of on-prem and SaaS components","DIR-SERVICES","Directory Services","DIR-2.1","Directory group provisioning","keyword-match",1
"RBAC-IGA-021","The system SHALL support coexistence of on-prem and SaaS components","DIR-SERVICES","Directory Services","DIR-3.1","Out-of-band change detection","keyword-match",3
"RBAC-IGA-021","The system SHALL support coexistence of on-prem and SaaS components","DIR-SERVICES","Directory Services","DIR-6.1","Directory event logging","keyword-match",2
"RBAC-IGA-021","The system SHALL support coexistence of on-prem and SaaS components","SOX-FRAMEWORK","SOX Controls","SOX-ITGC-01","SOX-ITGC-01 (auto)","keyword-match",1
"RBAC-IGA-021","The system SHALL support coexistence of on-prem and SaaS components","SOX-FRAMEWORK","SOX Controls","SOX-ITGC-02","SOX-ITGC-02 (auto)","keyword-match",1
"RBAC-IGA-021","The system SHALL support coexistence of on-prem and SaaS components","SOX-FRAMEWORK","SOX Controls","SOX-ITGC-04","SOX-ITGC-04 (auto)","keyword-match",1
"RBAC-IGA-021","The system SHALL support coexistence of on-prem and SaaS components","NIST-FRAMEWORK","NIST Controls","AC-2","AC-2 (auto)","keyword-match",1
"RBAC-IGA-021","The system SHALL support coexistence of on-prem and SaaS components","NIST-FRAMEWORK","NIST Controls","AC-3","AC-3 (auto)","keyword-match",1
"RBAC-IGA-021","The system SHALL support coexistence of on-prem and SaaS components","NIST-FRAMEWORK","NIST Controls","AC-5","AC-5 (auto)","keyword-match",1
"RBAC-IGA-021","The system SHALL support coexistence of on-prem and SaaS components","NIST-FRAMEWORK","NIST Controls","AC-6","AC-6 (auto)","keyword-match",1
"RBAC-IGA-021","The system SHALL support coexistence of on-prem and SaaS components","NIST-FRAMEWORK","NIST Controls","IA-2","IA-2 (auto)","keyword-match",1
"RBAC-IGA-021","The system SHALL support coexistence of on-prem and SaaS components","ISO-FRAMEWORK","ISO Controls","A.9.1.1","A.9.1.1 (auto)","keyword-match",1
"RBAC-IGA-021","The system SHALL support coexistence of on-prem and SaaS components","ISO-FRAMEWORK","ISO Controls","A.9.1.2","A.9.1.2 (auto)","keyword-match",1
"RBAC-IGA-021","The system SHALL support coexistence of on-prem and SaaS components","ISO-FRAMEWORK","ISO Controls","A.9.2.1","A.9.2.1 (auto)","keyword-match",1
"RBAC-IGA-021","The system SHALL support coexistence of on-prem and SaaS components","ISO-FRAMEWORK","ISO Controls","A.9.2.2","A.9.2.2 (auto)","keyword-match",1
"RBAC-IGA-021","The system SHALL support coexistence of on-prem and SaaS components","COBIT-FRAMEWORK","COBIT Controls","DSS05.04","DSS05.04 (auto)","keyword-match",1
"RBAC-IGA-021","The system SHALL support coexistence of on-prem and SaaS components","COBIT-FRAMEWORK","COBIT Controls","DSS05.05","DSS05.05 (auto)","keyword-match",1
"RBAC-IGA-021","The system SHALL support coexistence of on-prem and SaaS components","COBIT-FRAMEWORK","COBIT Controls","APO13.01","APO13.01 (auto)","keyword-match",1
"RBAC-IGA-028","The system SHALL support ABAC eligibility enforcement","NIST-FRAMEWORK","NIST Controls","AC-2","AC-2 (auto)","domain-nist",1
