RTM ID	Requirement Statement	Layer	Control Objective	Parent Requirement	Outcome	Rationale	Status	Priority	Test Case ID	Owner	Acceptance Criteria	Version	Last Modified	Dependencies	Integration Point	Identity Types	Move Types
RBAC-ENT-001	Establish a standardized, enterprise role-based access governance model that defines roles, maps roles to entitlements, and governs access decisions consistently across applications	Enterprise	RBAC Program / IAM Governance	None	Consistent role-based access decisions across the enterprise	Foundation requirement; all RBAC capabilities roll up here	Approved	Must Have	RBAC-TC-087, RBAC-TC-143, RBAC-TC-144, RBAC-TC-145, RBAC-TC-146	IAM Team	GIVEN a role-based access model is defined, WHEN access decisions are made across applications, THEN all decisions follow standardized role definitions with 100% consistency	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-ENT-002	The system SHALL enforce least privilege access by ensuring users receive only the access required for their job function and by explicitly identifying and governing privileged or sensitive access	Enterprise	RBAC Program / IAM Governance	None	Reduced access risk and over-privilege	Drives privileged designation, SoD, and risk-based controls	Approved	Must Have	RBAC-TC-088	IAM Governance Lead	GIVEN least privilege policy is enforced, WHEN users are provisioned access, THEN access is limited to job function requirements AND privileged access is explicitly flagged	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-ENT-003	Govern the full access lifecycle, including request, approval, activation, review, revocation, and exception handling, in a repeatable and auditable manner	Enterprise	RBAC Program / IAM Governance	None	End-to-end controlled access lifecycle	Lifecycle completeness and determinism	Approved	Must Have	RBAC-TC-001, RBAC-TC-002	IAM Team	GIVEN the access lifecycle is governed, WHEN any access event occurs (request/approval/activation/review/revocation/exception), THEN the event is logged with full audit trail	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-ENT-004	Produce complete, attributable, and auditable evidence of access decisions sufficient to support SOX and other regulatory audits without manual reconstruction	Enterprise	Audit / Compliance	None	Audit-ready access governance	Eliminates spreadsheets, screenshots, and tribal knowledge	Approved	Must Have	RBAC-TC-003	Compliance & Audit Team	GIVEN SOX audit requirements, WHEN evidence is requested, THEN complete attributable evidence is retrievable without manual reconstruction within 24 hours	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-ENT-005	The system SHALL support scalable onboarding of applications, identities, and roles without bespoke redesign or manual controls	Enterprise	RBAC Program / IAM Governance	None	Scalable RBAC adoption	Enables enterprise-wide rollout	Approved	Must Have	RBAC-TC-089	IAM Team	GIVEN new applications/identities/roles need onboarding, WHEN onboarding is initiated, THEN standard templates are used with no bespoke development required	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-ENT-006	Define access intent, policy, and governance while delegating execution, automation, and enforcement to an enterprise IGA platform	Enterprise	Enterprise IAM	None	Clear separation of governance and execution	RBAC governs; IGA executes	Approved	Must Have	RBAC-TC-090	IAM Team	GIVEN RBAC defines policy and IGA executes, WHEN access changes occur, THEN RBAC governs intent AND IGA automates enforcement with clear separation	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-CAP-101	The system SHALL provide a standardized discovery model to capture application RBAC readiness inputs	Capability	RBAC Product	RBAC-ENT-005	Consistent, scalable application onboarding	Enables repeatable intake without bespoke analysis	Approved	Could Have	RBAC-TC-004	RBAC Product Team	GIVEN a new application, WHEN discovery is initiated, THEN standardized intake questionnaire is presented with all required fields	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	N/A
RBAC-CAP-102	The system SHALL require completion of minimum discovery criteria before entitlement mapping	Capability	RBAC Product	RBAC-ENT-005	Readiness gating enforced	Prevents premature onboarding	Approved	Could Have	RBAC-TC-005	RBAC Product Team	GIVEN discovery is incomplete, WHEN user attempts entitlement mapping, THEN system blocks with clear error message	1	2026-03-20	RBAC-CAP-101		Employee, Contractor, Vendor, Dealer, Non-Human	N/A
RBAC-CAP-103	The system SHALL require identification of business and technical owners	Capability	RBAC Product	RBAC-ENT-001	Clear accountability	Ownership is prerequisite to governance	Approved	Could Have	RBAC-TC-006	RBAC Product Team	GIVEN discovery submission, WHEN owner fields are empty, THEN system rejects with validation error	1	2026-03-20	RBAC-CAP-101		Employee, Contractor, Vendor, Dealer	N/A
RBAC-CAP-104	The system SHALL require documented role constructs or confirmation none exist	Capability	RBAC Product	RBAC-ENT-001	Role clarity	Avoids hidden or ad-hoc roles	Approved	Could Have	RBAC-TC-007	RBAC Product Team	GIVEN discovery process, WHEN role constructs exist, THEN they are documented; WHEN none exist, THEN explicit confirmation is required	1	2026-03-20	RBAC-CAP-103		Employee, Contractor, Vendor, Dealer, Non-Human	N/A
