requirementId,requirementText,requirementType,frameworkId,frameworkName,controlId,controlTitle
RBAC-ENT-001,"Establish a standardized, enterprise role-based access governance model that defines roles, maps roles to entitlements, and governs access decisions consistently across applications",Enterprise,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-ENT-002,"The system SHALL enforce least privilege access by ensuring users receive only the access required for their job function and by explicitly identifying and governing privileged or sensitive access",Enterprise,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-ENT-003,"Govern the full access lifecycle, including request, approval, activation, review, revocation, and exception handling, in a repeatable and auditable manner",Enterprise,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-ENT-004,"Produce complete, attributable, and auditable evidence of access decisions sufficient to support SOX and other regulatory audits without manual reconstruction",Enterprise,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-ENT-005,"The system SHALL support scalable onboarding of applications, identities, and roles without bespoke redesign or manual controls",Enterprise,ISO-FRAMEWORK,"ISO Controls",A.9.1.1,"A.9.1.1 (auto)"
RBAC-ENT-006,"Define access intent, policy, and governance while delegating execution, automation, and enforcement to an enterprise IGA platform",Enterprise,ISO-FRAMEWORK,"ISO Controls",A.9.1.1,"A.9.1.1 (auto)"
RBAC-CAP-101,"The system SHALL provide a standardized discovery model to capture application RBAC readiness inputs",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-101,"The system SHALL provide a standardized discovery model to capture application RBAC readiness inputs",Capability,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-CAP-102,"The system SHALL require completion of minimum discovery criteria before entitlement mapping",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-102,"The system SHALL require completion of minimum discovery criteria before entitlement mapping",Capability,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-CAP-103,"The system SHALL require identification of business and technical owners",Capability,ISO-FRAMEWORK,"ISO Controls",A.9.1.1,"A.9.1.1 (auto)"
RBAC-CAP-104,"The system SHALL require documented role constructs or confirmation none exist",Capability,ISO-FRAMEWORK,"ISO Controls",A.9.1.1,"A.9.1.1 (auto)"
RBAC-CAP-105,"The system SHALL require a current permission inventory",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-106,"The system SHALL identify privileged access paths during discovery",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-107,"The system SHALL capture segregation-of-duties considerations",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-108,"The system SHALL track discovery lifecycle status",Capability,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-CAP-109,"The system SHALL retain discovery artifacts as audit evidence",Capability,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-CAP-110,"The system SHALL support RBAC governance for non-human identities",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-201,"The system SHALL support explicit definition of business roles",Capability,ISO-FRAMEWORK,"ISO Controls",A.9.1.1,"A.9.1.1 (auto)"
RBAC-CAP-202,"The system SHALL enforce role eligibility criteria",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-203,"The system SHALL require documented role purpose and owner",Capability,ISO-FRAMEWORK,"ISO Controls",A.9.1.1,"A.9.1.1 (auto)"
RBAC-CAP-204,"The system SHALL support role lifecycle states",Capability,ISO-FRAMEWORK,"ISO Controls",A.9.1.1,"A.9.1.1 (auto)"
RBAC-CAP-205,"The system SHALL ensure users inherit access only through roles",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
